Error(cP),Viscosity(cP),molar ratio of DES (mol/mol),mole fraction of water (mol/mol),temperature (K),DOI
NG,60.2,0.5,0.249765513,313.15,10.1016/j.aca.2012.12.019
0.0063695,1.2739,0.5,1,283.15,10.1016/j.fluid.2014.01.028
0.004918,0.9836,0.5,1,293.15,10.1016/j.fluid.2014.01.028
0.003957,0.7914,0.5,1,303.15,10.1016/j.fluid.2014.01.028
0.003246,0.6492,0.5,1,313.15,10.1016/j.fluid.2014.01.028
0.0027435,0.5487,0.5,1,323.15,10.1016/j.fluid.2014.01.028
0.002385,0.477,0.5,1,333.15,10.1016/j.fluid.2014.01.028
0.002177,0.4354,0.5,1,343.15,10.1016/j.fluid.2014.01.028
0.00193,0.386,0.5,1,353.15,10.1016/j.fluid.2014.01.028
0.001653,0.3306,0.5,1,363.15,10.1016/j.fluid.2014.01.028
0.007877,1.5754,0.5,0.9819,283.15,10.1016/j.fluid.2014.01.028
0.0060325,1.2065,0.5,0.9819,293.15,10.1016/j.fluid.2014.01.028
0.0048055,0.9611,0.5,0.9819,303.15,10.1016/j.fluid.2014.01.028
0.003951,0.7902,0.5,0.9819,313.15,10.1016/j.fluid.2014.01.028
0.003289,0.6578,0.5,0.9819,323.15,10.1016/j.fluid.2014.01.028
0.002826,0.5652,0.5,0.9819,333.15,10.1016/j.fluid.2014.01.028
0.002438,0.4876,0.5,0.9819,343.15,10.1016/j.fluid.2014.01.028
0.0021765,0.4353,0.5,0.9819,353.15,10.1016/j.fluid.2014.01.028
0.001931,0.3862,0.5,0.9819,363.15,10.1016/j.fluid.2014.01.028
0.0100705,2.0141,0.5,0.9602,283.15,10.1016/j.fluid.2014.01.028
0.007647,1.5294,0.5,0.9602,293.15,10.1016/j.fluid.2014.01.028
0.0060295,1.2059,0.5,0.9602,303.15,10.1016/j.fluid.2014.01.028
0.004904,0.9808,0.5,0.9602,313.15,10.1016/j.fluid.2014.01.028
0.0040965,0.8193,0.5,0.9602,323.15,10.1016/j.fluid.2014.01.028
0.0034995,0.6999,0.5,0.9602,333.15,10.1016/j.fluid.2014.01.028
0.003003,0.6006,0.5,0.9602,343.15,10.1016/j.fluid.2014.01.028
0.002606,0.5212,0.5,0.9602,353.15,10.1016/j.fluid.2014.01.028
0.002327,0.4654,0.5,0.9602,363.15,10.1016/j.fluid.2014.01.028
0.0134705,2.6941,0.5,0.9335,283.15,10.1016/j.fluid.2014.01.028
0.0100955,2.0191,0.5,0.9335,293.15,10.1016/j.fluid.2014.01.028
0.007871,1.5742,0.5,0.9335,303.15,10.1016/j.fluid.2014.01.028
0.006326,1.2652,0.5,0.9335,313.15,10.1016/j.fluid.2014.01.028
0.005222,1.0444,0.5,0.9335,323.15,10.1016/j.fluid.2014.01.028
0.0044145,0.8829,0.5,0.9335,333.15,10.1016/j.fluid.2014.01.028
0.0036795,0.7359,0.5,0.9335,343.15,10.1016/j.fluid.2014.01.028
0.003327,0.6654,0.5,0.9335,353.15,10.1016/j.fluid.2014.01.028
0.0030725,0.6145,0.5,0.9335,363.15,10.1016/j.fluid.2014.01.028
0.019447,3.8894,0.5,0.9007,283.15,10.1016/j.fluid.2014.01.028
0.0143285,2.8657,0.5,0.9007,293.15,10.1016/j.fluid.2014.01.028
0.0109885,2.1977,0.5,0.9007,303.15,10.1016/j.fluid.2014.01.028
0.0087165,1.7433,0.5,0.9007,313.15,10.1016/j.fluid.2014.01.028
0.0070845,1.4169,0.5,0.9007,323.15,10.1016/j.fluid.2014.01.028
0.005912,1.1824,0.5,0.9007,333.15,10.1016/j.fluid.2014.01.028
0.00502,1.004,0.5,0.9007,343.15,10.1016/j.fluid.2014.01.028
0.004411,0.8822,0.5,0.9007,353.15,10.1016/j.fluid.2014.01.028
0.003851,0.7702,0.5,0.9007,363.15,10.1016/j.fluid.2014.01.028
0.030334,6.0668,0.5,0.8574,283.15,10.1016/j.fluid.2014.01.028
0.021758,4.3516,0.5,0.8574,293.15,10.1016/j.fluid.2014.01.028
0.016288,3.2576,0.5,0.8574,303.15,10.1016/j.fluid.2014.01.028
0.0126385,2.5277,0.5,0.8574,313.15,10.1016/j.fluid.2014.01.028
0.010098,2.0196,0.5,0.8574,323.15,10.1016/j.fluid.2014.01.028
0.0082735,1.6547,0.5,0.8574,333.15,10.1016/j.fluid.2014.01.028
0.006921,1.3842,0.5,0.8574,343.15,10.1016/j.fluid.2014.01.028
0.0059275,1.1855,0.5,0.8574,353.15,10.1016/j.fluid.2014.01.028
0.005131,1.0262,0.5,0.8574,363.15,10.1016/j.fluid.2014.01.028
0.056591,11.3182,0.5,0.7997,283.15,10.1016/j.fluid.2014.01.028
0.0382415,7.6483,0.5,0.7997,293.15,10.1016/j.fluid.2014.01.028
0.028219,5.6438,0.5,0.7997,303.15,10.1016/j.fluid.2014.01.028
0.0193105,3.8621,0.5,0.7997,313.15,10.1016/j.fluid.2014.01.028
0.0150375,3.0075,0.5,0.7997,323.15,10.1016/j.fluid.2014.01.028
0.0120315,2.4063,0.5,0.7997,333.15,10.1016/j.fluid.2014.01.028
0.0098555,1.9711,0.5,0.7997,343.15,10.1016/j.fluid.2014.01.028
0.008236,1.6472,0.5,0.7997,353.15,10.1016/j.fluid.2014.01.028
0.006993,1.3986,0.5,0.7997,363.15,10.1016/j.fluid.2014.01.028
0.1090685,21.8137,0.5,0.7199,283.15,10.1016/j.fluid.2014.01.028
0.071863,14.3726,0.5,0.7199,293.15,10.1016/j.fluid.2014.01.028
0.050274,10.0548,0.5,0.7199,303.15,10.1016/j.fluid.2014.01.028
0.0354995,7.0999,0.5,0.7199,313.15,10.1016/j.fluid.2014.01.028
0.02538,5.076,0.5,0.7199,323.15,10.1016/j.fluid.2014.01.028
0.019729,3.9458,0.5,0.7199,333.15,10.1016/j.fluid.2014.01.028
0.0157595,3.1519,0.5,0.7199,343.15,10.1016/j.fluid.2014.01.028
0.0128585,2.5717,0.5,0.7199,353.15,10.1016/j.fluid.2014.01.028
0.010713,2.1426,0.5,0.7199,363.15,10.1016/j.fluid.2014.01.028
0.273153,54.6306,0.5,0.5978,283.15,10.1016/j.fluid.2014.01.028
