Error(cP),Viscosity(cP),molar ratio of DES (mol/mol),mole fraction of water (mol/mol),temperature (K),DOI
0.02375,2.375,0.5,0.9,298.15,10.1016/j.jct.2013.05.041
0.02071,2.071,0.5,0.9,303.15,10.1016/j.jct.2013.05.041
0.01825,1.825,0.5,0.9,308.15,10.1016/j.jct.2013.05.041
0.01618,1.618,0.5,0.9,313.15,10.1016/j.jct.2013.05.041
0.01449,1.449,0.5,0.9,318.15,10.1016/j.jct.2013.05.041
0.01304,1.304,0.5,0.9,323.15,10.1016/j.jct.2013.05.041
0.01184,1.184,0.5,0.9,328.15,10.1016/j.jct.2013.05.041
0.01085,1.085,0.5,0.9,333.15,10.1016/j.jct.2013.05.041
0.01023,1.023,0.5,0.9,338.15,10.1016/j.jct.2013.05.041
0.00968,0.968,0.5,0.9,343.15,10.1016/j.jct.2013.05.041
0.04932,4.932,0.5,0.8,298.15,10.1016/j.jct.2013.05.041
0.04237,4.237,0.5,0.8,303.15,10.1016/j.jct.2013.05.041
0.03608,3.608,0.5,0.8,308.15,10.1016/j.jct.2013.05.041
0.03248,3.248,0.5,0.8,313.15,10.1016/j.jct.2013.05.041
0.02778,2.778,0.5,0.8,318.15,10.1016/j.jct.2013.05.041
0.02478,2.478,0.5,0.8,323.15,10.1016/j.jct.2013.05.041
0.02261,2.261,0.5,0.8,328.15,10.1016/j.jct.2013.05.041
0.02052,2.052,0.5,0.8,333.15,10.1016/j.jct.2013.05.041
0.01875,1.875,0.5,0.8,338.15,10.1016/j.jct.2013.05.041
0.0173,1.73,0.5,0.8,343.15,10.1016/j.jct.2013.05.041
0.08684,8.684,0.5,0.7,298.15,10.1016/j.jct.2013.05.041
0.07281,7.281,0.5,0.7,303.15,10.1016/j.jct.2013.05.041
0.06173,6.173,0.5,0.7,308.15,10.1016/j.jct.2013.05.041
0.05285,5.285,0.5,0.7,313.15,10.1016/j.jct.2013.05.041
0.04572,4.572,0.5,0.7,318.15,10.1016/j.jct.2013.05.041
0.03987,3.987,0.5,0.7,323.15,10.1016/j.jct.2013.05.041
0.03512,3.512,0.5,0.7,328.15,10.1016/j.jct.2013.05.041
0.03118,3.118,0.5,0.7,333.15,10.1016/j.jct.2013.05.041
0.02792,2.792,0.5,0.7,338.15,10.1016/j.jct.2013.05.041
0.02523,2.523,0.5,0.7,343.15,10.1016/j.jct.2013.05.041
0.13735,13.735,0.5,0.6,298.15,10.1016/j.jct.2013.05.041
0.11154,11.154,0.5,0.6,303.15,10.1016/j.jct.2013.05.041
0.09288,9.288,0.5,0.6,308.15,10.1016/j.jct.2013.05.041
0.07872,7.872,0.5,0.6,313.15,10.1016/j.jct.2013.05.041
0.06723,6.723,0.5,0.6,318.15,10.1016/j.jct.2013.05.041
0.05805,5.805,0.5,0.6,323.15,10.1016/j.jct.2013.05.041
0.05049,5.049,0.5,0.6,328.15,10.1016/j.jct.2013.05.041
0.04422,4.422,0.5,0.6,333.15,10.1016/j.jct.2013.05.041
0.03913,3.913,0.5,0.6,338.15,10.1016/j.jct.2013.05.041
0.03481,3.481,0.5,0.6,343.15,10.1016/j.jct.2013.05.041
0.19289,19.289,0.5,0.4999,298.15,10.1016/j.jct.2013.05.041
0.15901,15.901,0.5,0.4999,303.15,10.1016/j.jct.2013.05.041
0.13109,13.109,0.5,0.4999,308.15,10.1016/j.jct.2013.05.041
0.10788,10.788,0.5,0.4999,313.15,10.1016/j.jct.2013.05.041
0.09117,9.117,0.5,0.4999,318.15,10.1016/j.jct.2013.05.041
0.07804,7.804,0.5,0.4999,323.15,10.1016/j.jct.2013.05.041
0.0673,6.73,0.5,0.4999,328.15,10.1016/j.jct.2013.05.041
0.05867,5.867,0.5,0.4999,333.15,10.1016/j.jct.2013.05.041
0.05141,5.141,0.5,0.4999,338.15,10.1016/j.jct.2013.05.041
0.04551,4.551,0.5,0.4999,343.15,10.1016/j.jct.2013.05.041
0.25176,25.176,0.5,0.4,298.15,10.1016/j.jct.2013.05.041
0.20368,20.368,0.5,0.4,303.15,10.1016/j.jct.2013.05.041
0.16733,16.733,0.5,0.4,308.15,10.1016/j.jct.2013.05.041
0.13925,13.925,0.5,0.4,313.15,10.1016/j.jct.2013.05.041
0.11546,11.546,0.5,0.4,318.15,10.1016/j.jct.2013.05.041
0.09799,9.799,0.5,0.4,323.15,10.1016/j.jct.2013.05.041
0.08433,8.433,0.5,0.4,328.15,10.1016/j.jct.2013.05.041
0.07302,7.302,0.5,0.4,333.15,10.1016/j.jct.2013.05.041
0.06373,6.373,0.5,0.4,338.15,10.1016/j.jct.2013.05.041
0.05605,5.605,0.5,0.4,343.15,10.1016/j.jct.2013.05.041
0.31507,31.507,0.5,0.2998,298.15,10.1016/j.jct.2013.05.041
0.25326,25.326,0.5,0.2998,303.15,10.1016/j.jct.2013.05.041
0.20794,20.794,0.5,0.2998,308.15,10.1016/j.jct.2013.05.041
0.17135,17.135,0.5,0.2998,313.15,10.1016/j.jct.2013.05.041
0.14411,14.411,0.5,0.2998,318.15,10.1016/j.jct.2013.05.041
0.12003,12.003,0.5,0.2998,323.15,10.1016/j.jct.2013.05.041
0.10248,10.248,0.5,0.2998,328.15,10.1016/j.jct.2013.05.041
0.08856,8.856,0.5,0.2998,333.15,10.1016/j.jct.2013.05.041
0.07699,7.699,0.5,0.2998,338.15,10.1016/j.jct.2013.05.041
0.06748,6.748,0.5,0.2998,343.15,10.1016/j.jct.2013.05.041
0.37768,37.768,0.5,0.2,298.15,10.1016/j.jct.2013.05.041
0.30347,30.347,0.5,0.2,303.15,10.1016/j.jct.2013.05.041
0.24762,24.762,0.5,0.2,308.15,10.1016/j.jct.2013.05.041
0.20463,20.463,0.5,0.2,313.15,10.1016/j.jct.2013.05.041
0.17134,17.134,0.5,0.2,318.15,10.1016/j.jct.2013.05.041
0.14485,14.485,0.5,0.2,323.15,10.1016/j.jct.2013.05.041
0.12154,12.154,0.5,0.2,328.15,10.1016/j.jct.2013.05.041
0.10425,10.425,0.5,0.2,333.15,10.1016/j.jct.2013.05.041
0.09059,9.059,0.5,0.2,338.15,10.1016/j.jct.2013.05.041
0.07933,7.933,0.5,0.2,343.15,10.1016/j.jct.2013.05.041
0.44,44,0.5,0.1,298.15,10.1016/j.jct.2013.05.041
0.35282,35.282,0.5,0.1,303.15,10.1016/j.jct.2013.05.041
0.28535,28.535,0.5,0.1,308.15,10.1016/j.jct.2013.05.041
0.23527,23.527,0.5,0.1,313.15,10.1016/j.jct.2013.05.041
0.19649,19.649,0.5,0.1,318.15,10.1016/j.jct.2013.05.041
0.16699,16.699,0.5,0.1,323.15,10.1016/j.jct.2013.05.041
0.14087,14.087,0.5,0.1,328.15,10.1016/j.jct.2013.05.041
0.11888,11.888,0.5,0.1,333.15,10.1016/j.jct.2013.05.041
0.10271,10.271,0.5,0.1,338.15,10.1016/j.jct.2013.05.041
0.08966,8.966,0.5,0.1,343.15,10.1016/j.jct.2013.05.041
0.504466,50.4466,0.5,0,298.15,10.1016/j.jct.2013.05.041
0.406835,40.6835,0.5,0,303.15,10.1016/j.jct.2013.05.041
0.320365,32.0365,0.5,0,308.15,10.1016/j.jct.2013.05.041
0.262835,26.2835,0.5,0,313.15,10.1016/j.jct.2013.05.041
0.219701,21.9701,0.5,0,318.15,10.1016/j.jct.2013.05.041
0.185065,18.5065,0.5,0,323.15,10.1016/j.jct.2013.05.041
0.158308,15.8308,0.5,0,328.15,10.1016/j.jct.2013.05.041
0.135007,13.5007,0.5,0,333.15,10.1016/j.jct.2013.05.041
0.114891,11.4891,0.5,0,338.15,10.1016/j.jct.2013.05.041
0.099868,9.9868,0.5,0,343.15,10.1016/j.jct.2013.05.041
