Error(cP),Viscosity(cP),molar ratio of DES (mol/mol),mole fraction of water (mol/mol),temperature (K),DOI
0.0325,3.25,0.5,0.8997,298.15,10.1016/j.jct.2013.05.041
0.02836,2.836,0.5,0.8997,303.15,10.1016/j.jct.2013.05.041
0.02458,2.458,0.5,0.8997,308.15,10.1016/j.jct.2013.05.041
0.02167,2.167,0.5,0.8997,313.15,10.1016/j.jct.2013.05.041
0.01925,1.925,0.5,0.8997,318.15,10.1016/j.jct.2013.05.041
0.01722,1.722,0.5,0.8997,323.15,10.1016/j.jct.2013.05.041
0.01547,1.547,0.5,0.8997,328.15,10.1016/j.jct.2013.05.041
0.01408,1.408,0.5,0.8997,333.15,10.1016/j.jct.2013.05.041
0.01298,1.298,0.5,0.8997,338.15,10.1016/j.jct.2013.05.041
0.01182,1.182,0.5,0.8997,343.15,10.1016/j.jct.2013.05.041
0.08992,8.992,0.5,0.7994,298.15,10.1016/j.jct.2013.05.041
0.07482,7.482,0.5,0.7994,303.15,10.1016/j.jct.2013.05.041
0.06286,6.286,0.5,0.7994,308.15,10.1016/j.jct.2013.05.041
0.05317,5.317,0.5,0.7994,313.15,10.1016/j.jct.2013.05.041
0.04581,4.581,0.5,0.7994,318.15,10.1016/j.jct.2013.05.041
0.0397,3.97,0.5,0.7994,323.15,10.1016/j.jct.2013.05.041
0.03502,3.502,0.5,0.7994,328.15,10.1016/j.jct.2013.05.041
0.03098,3.098,0.5,0.7994,333.15,10.1016/j.jct.2013.05.041
0.02764,2.764,0.5,0.7994,338.15,10.1016/j.jct.2013.05.041
0.02474,2.474,0.5,0.7994,343.15,10.1016/j.jct.2013.05.041
0.20975,20.975,0.5,0.6996,298.15,10.1016/j.jct.2013.05.041
0.16744,16.744,0.5,0.6996,303.15,10.1016/j.jct.2013.05.041
0.13665,13.665,0.5,0.6996,308.15,10.1016/j.jct.2013.05.041
0.1107,11.07,0.5,0.6996,313.15,10.1016/j.jct.2013.05.041
0.09203,9.203,0.5,0.6996,318.15,10.1016/j.jct.2013.05.041
0.07819,7.819,0.5,0.6996,323.15,10.1016/j.jct.2013.05.041
0.06647,6.647,0.5,0.6996,328.15,10.1016/j.jct.2013.05.041
0.05762,5.762,0.5,0.6996,333.15,10.1016/j.jct.2013.05.041
0.04983,4.983,0.5,0.6996,338.15,10.1016/j.jct.2013.05.041
0.04401,4.401,0.5,0.6996,343.15,10.1016/j.jct.2013.05.041
0.43719,43.719,0.5,0.5996,298.15,10.1016/j.jct.2013.05.041
0.34936,34.936,0.5,0.5996,303.15,10.1016/j.jct.2013.05.041
0.26465,26.465,0.5,0.5996,308.15,10.1016/j.jct.2013.05.041
0.20922,20.922,0.5,0.5996,313.15,10.1016/j.jct.2013.05.041
0.17067,17.067,0.5,0.5996,318.15,10.1016/j.jct.2013.05.041
0.1405,14.05,0.5,0.5996,323.15,10.1016/j.jct.2013.05.041
0.11518,11.518,0.5,0.5996,328.15,10.1016/j.jct.2013.05.041
0.09713,9.713,0.5,0.5996,333.15,10.1016/j.jct.2013.05.041
0.0831,8.31,0.5,0.5996,338.15,10.1016/j.jct.2013.05.041
0.0717,7.17,0.5,0.5996,343.15,10.1016/j.jct.2013.05.041
0.78196,78.196,0.5,0.4997,298.15,10.1016/j.jct.2013.05.041
0.58642,58.642,0.5,0.4997,303.15,10.1016/j.jct.2013.05.041
0.45327,45.327,0.5,0.4997,308.15,10.1016/j.jct.2013.05.041
0.36179,36.179,0.5,0.4997,313.15,10.1016/j.jct.2013.05.041
0.28324,28.324,0.5,0.4997,318.15,10.1016/j.jct.2013.05.041
0.22593,22.593,0.5,0.4997,323.15,10.1016/j.jct.2013.05.041
0.18447,18.447,0.5,0.4997,328.15,10.1016/j.jct.2013.05.041
0.15187,15.187,0.5,0.4997,333.15,10.1016/j.jct.2013.05.041
