Error(cP),Viscosity(cP),molar ratio of DES (mol/mol),mole fraction of water (mol/mol),temperature (K),DOI
NG,0.737,0,0,278.15,10.1007/BF00508889
NG,1.199,0,0.1875,278.15,10.1007/BF00508889
NG,1.973,0,0.4179,278.15,10.1007/BF00508889
NG,2.719,0,0.608,278.15,10.1007/BF00508889
NG,3.039,0,0.7245,278.15,10.1007/BF00508889
NG,3.035,0,0.801,278.15,10.1007/BF00508889
NG,2.508,0,0.9031,278.15,10.1007/BF00508889
NG,2.046,0,0.9506,278.15,10.1007/BF00508889
NG,1.52,0,1,278.15,10.1007/BF00508889
NG,0.827,0,0.1969,298.15,10.1007/BF00508889
NG,1.061,0,0.3487,298.15,10.1007/BF00508889
NG,1.314,0,0.4983,298.15,10.1007/BF00508889
NG,1.524,0,0.6358,298.15,10.1007/BF00508889
NG,1.577,0,0.7526,298.15,10.1007/BF00508889
NG,1.282,0,0.9078,298.15,10.1007/BF00508889
0.006,0.585,0,0,293.15,10.1016/j.jct.2007.05.004
0.006,0.735,0,0.0993,293.15,10.1016/j.jct.2007.05.004
0.006,0.9,0,0.1973,293.15,10.1016/j.jct.2007.05.004
0.006,1.086,0,0.2983,293.15,10.1016/j.jct.2007.05.004
0.006,1.287,0,0.3985,293.15,10.1016/j.jct.2007.05.004
0.006,0.655,0,0.049,293.15,10.1016/j.jct.2007.05.004
0.006,1.481,0,0.5003,293.15,10.1016/j.jct.2007.05.004
0.006,1.673,0,0.5994,293.15,10.1016/j.jct.2007.05.004
0.006,1.793,0,0.6997,293.15,10.1016/j.jct.2007.05.004
0.006,1.789,0,0.7986,293.15,10.1016/j.jct.2007.05.004
0.006,1.522,0,0.8999,293.15,10.1016/j.jct.2007.05.004
0.006,1.274,0,0.9512,293.15,10.1016/j.jct.2007.05.004
0.006,1.003,0,1,293.15,10.1016/j.jct.2007.05.004
0.006,0.545,0,0,298.15,10.1016/j.jct.2007.05.004
0.006,0.677,0,0.0993,298.15,10.1016/j.jct.2007.05.004
0.006,0.821,0,0.1973,298.15,10.1016/j.jct.2007.05.004
0.006,0.987,0,0.2983,298.15,10.1016/j.jct.2007.05.004
0.006,1.15,0,0.3985,298.15,10.1016/j.jct.2007.05.004
0.006,0.607,0,0.049,298.15,10.1016/j.jct.2007.05.004
0.006,1.309,0,0.5003,298.15,10.1016/j.jct.2007.05.004
0.006,1.463,0,0.5994,298.15,10.1016/j.jct.2007.05.004
0.006,1.554,0,0.6997,298.15,10.1016/j.jct.2007.05.004
0.006,1.542,0,0.7986,298.15,10.1016/j.jct.2007.05.004
0.006,1.317,0,0.8999,298.15,10.1016/j.jct.2007.05.004
0.006,1.121,0,0.9512,298.15,10.1016/j.jct.2007.05.004
0.006,0.89,0,1,298.15,10.1016/j.jct.2007.05.004
0.006,0.508,0,0,303.15,10.1016/j.jct.2007.05.004
0.006,0.627,0,0.0993,303.15,10.1016/j.jct.2007.05.004
0.006,0.751,0,0.1973,303.15,10.1016/j.jct.2007.05.004
0.006,0.889,0,0.2983,303.15,10.1016/j.jct.2007.05.004
0.006,1.032,0,0.3985,303.15,10.1016/j.jct.2007.05.004
0.006,0.563,0,0.049,303.15,10.1016/j.jct.2007.05.004
0.006,1.164,0,0.5003,303.15,10.1016/j.jct.2007.05.004
0.006,1.289,0,0.5994,303.15,10.1016/j.jct.2007.05.004
0.006,1.342,0,0.6997,303.15,10.1016/j.jct.2007.05.004
0.006,1.342,0,0.7986,303.15,10.1016/j.jct.2007.05.004
0.006,1.147,0,0.8999,303.15,10.1016/j.jct.2007.05.004
0.006,0.996,0,0.9512,303.15,10.1016/j.jct.2007.05.004
0.006,0.797,0,1,303.15,10.1016/j.jct.2007.05.004
0.001082,0.541,0,0,298.15,10.1021/je60011a015
0.001318,0.659,0,0.0856,298.15,10.1021/je60011a015
0.001564,0.782,0,0.165,298.15,10.1021/je60011a015
0.00201,1.005,0,0.3078,298.15,10.1021/je60011a015
0.002436,1.218,0,0.4325,298.15,10.1021/je60011a015
0.002802,1.401,0,0.5424,298.15,10.1021/je60011a015
0.003068,1.534,0,0.6401,298.15,10.1021/je60011a015
0.00319,1.595,0,0.7273,298.15,10.1021/je60011a015
0.00308,1.54,0,0.8057,298.15,10.1021/je60011a015
0.002784,1.392,0,0.8767,298.15,10.1021/je60011a015
0.00231,1.155,0,0.9412,298.15,10.1021/je60011a015
0.00179,0.895,0,1,298.15,10.1021/je60011a015
0.001014,0.507,0,0,303.15,10.1021/je60011a015
0.001224,0.612,0,0.0856,303.15,10.1021/je60011a015
0.001428,0.714,0,0.165,303.15,10.1021/je60011a015
0.001814,0.907,0,0.3078,303.15,10.1021/je60011a015
0.00217,1.085,0,0.4325,303.15,10.1021/je60011a015
0.002478,1.239,0,0.5424,303.15,10.1021/je60011a015
0.002674,1.337,0,0.6401,303.15,10.1021/je60011a015
0.002762,1.381,0,0.7273,303.15,10.1021/je60011a015
0.002672,1.336,0,0.8057,303.15,10.1021/je60011a015
0.002412,1.206,0,0.8767,303.15,10.1021/je60011a015
0.00203,1.015,0,0.9412,303.15,10.1021/je60011a015
0.0016,0.8,0,1,303.15,10.1021/je60011a015
0.000948,0.474,0,0,308.15,10.1021/je60011a015
0.001132,0.566,0,0.0856,308.15,10.1021/je60011a015
0.001334,0.667,0,0.165,308.15,10.1021/je60011a015
0.001658,0.829,0,0.3078,308.15,10.1021/je60011a015
0.001948,0.974,0,0.4325,308.15,10.1021/je60011a015
0.002196,1.098,0,0.5424,308.15,10.1021/je60011a015
0.00236,1.18,0,0.6401,308.15,10.1021/je60011a015
0.002426,1.213,0,0.7273,308.15,10.1021/je60011a015
0.002344,1.172,0,0.8057,308.15,10.1021/je60011a015
0.002124,1.062,0,0.8767,308.15,10.1021/je60011a015
0.001788,0.894,0,0.9412,308.15,10.1021/je60011a015
0.001442,0.721,0,1,308.15,10.1021/je60011a015
0.0009,0.45,0,0,313.15,10.1021/je60011a015
0.001064,0.532,0,0.0856,313.15,10.1021/je60011a015
0.001224,0.612,0,0.165,313.15,10.1021/je60011a015
0.001504,0.752,0,0.3078,313.15,10.1021/je60011a015
0.001752,0.876,0,0.4325,313.15,10.1021/je60011a015
0.001962,0.981,0,0.5424,313.15,10.1021/je60011a015
0.002092,1.046,0,0.6401,313.15,10.1021/je60011a015
0.002148,1.074,0,0.7273,313.15,10.1021/je60011a015
0.002068,1.034,0,0.8057,313.15,10.1021/je60011a015
0.001882,0.941,0,0.8767,313.15,10.1021/je60011a015
0.0016,0.8,0,0.9412,313.15,10.1021/je60011a015
0.001308,0.654,0,1,313.15,10.1021/je60011a015
0.000792,0.396,0,0,323.15,10.1021/je60011a015
0.000916,0.458,0,0.0856,323.15,10.1021/je60011a015
0.001044,0.522,0,0.165,323.15,10.1021/je60011a015
0.00126,0.63,0,0.3078,323.15,10.1021/je60011a015
0.001444,0.722,0,0.4325,323.15,10.1021/je60011a015
0.00159,0.795,0,0.5424,323.15,10.1021/je60011a015
0.001682,0.841,0,0.6401,323.15,10.1021/je60011a015
0.001708,0.854,0,0.7273,323.15,10.1021/je60011a015
