Error(cP),Viscosity(cP),molar ratio of DES (mol/mol),mole fraction of water (mol/mol),temperature (K),DOI
NG,0.7612,0,0.982318271,308.15,10.1080/0031910029001/0464
NG,0.6912,0,0.982318271,313.15,10.1080/0031910029001/0464
NG,0.6293,0,0.982318271,318.15,10.1080/0031910029001/0464
NG,0.5841,0,0.982318271,323.15,10.1080/0031910029001/0464
NG,0.5318,0,0.982318271,328.15,10.1080/0031910029001/0464
NG,0.7944,0,0.965250965,308.15,10.1080/0031910029001/0464
NG,0.7169,0,0.965250965,313.15,10.1080/0031910029001/0464
NG,0.6557,0,0.965250965,318.15,10.1080/0031910029001/0464
NG,0.6023,0,0.965250965,323.15,10.1080/0031910029001/0464
NG,0.5616,0,0.965250965,328.15,10.1080/0031910029001/0464
NG,0.8302,0,0.948766603,308.15,10.1080/0031910029001/0464
NG,0.7568,0,0.948766603,313.15,10.1080/0031910029001/0464
NG,0.6939,0,0.948766603,318.15,10.1080/0031910029001/0464
NG,0.6485,0,0.948766603,323.15,10.1080/0031910029001/0464
NG,0.5884,0,0.948766603,328.15,10.1080/0031910029001/0464
NG,0.8754,0,0.932835821,308.15,10.1080/0031910029001/0464
NG,0.7895,0,0.932835821,313.15,10.1080/0031910029001/0464
NG,0.7263,0,0.932835821,318.15,10.1080/0031910029001/0464
NG,0.6694,0,0.932835821,323.15,10.1080/0031910029001/0464
NG,0.6128,0,0.932835821,328.15,10.1080/0031910029001/0464
NG,0.916,0,0.917431193,308.15,10.1080/0031910029001/0464
NG,0.8365,0,0.917431193,313.15,10.1080/0031910029001/0464
NG,0.7712,0,0.917431193,318.15,10.1080/0031910029001/0464
NG,0.7012,0,0.917431193,323.15,10.1080/0031910029001/0464
NG,0.6472,0,0.917431193,328.15,10.1080/0031910029001/0464
NG,0.9544,0,0.902527076,308.15,10.1080/0031910029001/0464
NG,0.8702,0,0.902527076,313.15,10.1080/0031910029001/0464
NG,0.7978,0,0.902527076,318.15,10.1080/0031910029001/0464
NG,0.7261,0,0.902527076,323.15,10.1080/0031910029001/0464
NG,0.6803,0,0.902527076,328.15,10.1080/0031910029001/0464
NG,1.0204,0,0.888099467,308.15,10.1080/0031910029001/0464
NG,0.914,0,0.888099467,313.15,10.1080/0031910029001/0464
NG,0.8423,0,0.888099467,318.15,10.1080/0031910029001/0464
NG,0.7788,0,0.888099467,323.15,10.1080/0031910029001/0464
NG,0.71,0,0.888099467,328.15,10.1080/0031910029001/0464
NG,1.0488,0,0.874125874,308.15,10.1080/0031910029001/0464
NG,0.9479,0,0.874125874,313.15,10.1080/0031910029001/0464
NG,0.8735,0,0.874125874,318.15,10.1080/0031910029001/0464
NG,0.803,0,0.874125874,323.15,10.1080/0031910029001/0464
NG,0.739,0,0.874125874,328.15,10.1080/0031910029001/0464
NG,1.0773,0,0.860585198,308.15,10.1080/0031910029001/0464
NG,0.9819,0,0.860585198,313.15,10.1080/0031910029001/0464
NG,0.9047,0,0.860585198,318.15,10.1080/0031910029001/0464
NG,0.8273,0,0.860585198,323.15,10.1080/0031910029001/0464
NG,0.7679,0,0.860585198,328.15,10.1080/0031910029001/0464
