fluid_compounds,property_type,property_value,uncertainty,temperature,mole_fractions,measurement_id,source_doi,Mole fraction,Temperature,Solvent: Amount ratio of component to other component of binary solvent,doc_label,mole_fractions_rounded,mole_fraction_Choline Chloride,mole_fraction_Glycerol,mole_fraction_Water,composition_temp_id,viscosity_value,viscosity_uncertainty,mole_fraction_water,color,marker,measured
['Water'],viscosity,0.0009836,4.917999999999999e-06,293.15,[1.0],c808155c-ab02-4406-b99b-e003a6d5791d,10.1016/j.fluid.2014.01.028,1.0,293.15,,Document_1,"(1.0,)",1.0,,,"(('Water',), 293.15, 'c808155c-ab02-4406-b99b-e003a6d5791d')",0.0009836,4.917999999999999e-06,1.0,#3185fc,s,measured
['Water'],viscosity,0.0012739000000000001,6.3695e-06,283.15,[1.0],91528a06-828e-48bd-b116-56f09ca00f28,10.1016/j.fluid.2014.01.028,1.0,283.15,,Document_1,"(1.0,)",1.0,,,"(('Water',), 283.15, '91528a06-828e-48bd-b116-56f09ca00f28')",0.0012739000000000001,6.3695e-06,1.0,#3185fc,s,measured
['Water'],viscosity,0.0006492,3.2460000000000003e-06,313.15,[1.0],3d519ff4-0c5d-466e-972b-ca55d255d4ae,10.1016/j.fluid.2014.01.028,1.0,313.15,,Document_1,"(1.0,)",1.0,,,"(('Water',), 313.15, '3d519ff4-0c5d-466e-972b-ca55d255d4ae')",0.0006492,3.2460000000000003e-06,1.0,#3185fc,s,measured
['Water'],viscosity,0.0007914,3.9569999999999996e-06,303.15,[1.0],27c52032-8e67-4137-8cd7-8745fd111aa5,10.1016/j.fluid.2014.01.028,1.0,303.15,,Document_1,"(1.0,)",1.0,,,"(('Water',), 303.15, '27c52032-8e67-4137-8cd7-8745fd111aa5')",0.0007914,3.9569999999999996e-06,1.0,#3185fc,s,measured
['Water'],viscosity,0.000477,2.385e-06,333.15,[1.0],48fbf1b2-3069-4898-9885-5f53612d6c19,10.1016/j.fluid.2014.01.028,1.0,333.15,,Document_1,"(1.0,)",1.0,,,"(('Water',), 333.15, '48fbf1b2-3069-4898-9885-5f53612d6c19')",0.000477,2.385e-06,1.0,#3185fc,s,measured
['Water'],viscosity,0.0004354,2.177e-06,343.15,[1.0],f3112a96-0a01-4da7-86bc-f49567be2589,10.1016/j.fluid.2014.01.028,1.0,343.15,,Document_1,"(1.0,)",1.0,,,"(('Water',), 343.15, 'f3112a96-0a01-4da7-86bc-f49567be2589')",0.0004354,2.177e-06,1.0,#3185fc,s,measured
['Water'],viscosity,0.000386,1.93e-06,353.15,[1.0],af91d69f-9f46-4611-b7ea-8553c6b715a9,10.1016/j.fluid.2014.01.028,1.0,353.15,,Document_1,"(1.0,)",1.0,,,"(('Water',), 353.15, 'af91d69f-9f46-4611-b7ea-8553c6b715a9')",0.000386,1.93e-06,1.0,#3185fc,s,measured
['Water'],viscosity,0.0005487,2.7434999999999997e-06,323.15,[1.0],cb445ca0-f18d-4ca9-afbb-ac7e1e516a22,10.1016/j.fluid.2014.01.028,1.0,323.15,,Document_1,"(1.0,)",1.0,,,"(('Water',), 323.15, 'cb445ca0-f18d-4ca9-afbb-ac7e1e516a22')",0.0005487,2.7434999999999997e-06,1.0,#3185fc,s,measured
['Water'],viscosity,0.0003306,1.6529999999999999e-06,363.15,[1.0],ce2a6c34-7762-4992-95f2-0b3d05fb95bf,10.1016/j.fluid.2014.01.028,1.0,363.15,,Document_1,"(1.0,)",1.0,,,"(('Water',), 363.15, 'ce2a6c34-7762-4992-95f2-0b3d05fb95bf')",0.0003306,1.6529999999999999e-06,1.0,#3185fc,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0015753999999999998,7.877000000000001e-06,283.15,"[0.006033333333, 0.012066666667, 0.9819]",d0b83ee9-668f-49b9-906f-b2c01c06baf7,10.1016/j.fluid.2014.01.028,0.9819,283.15,2.0,Document_1,"(0.006, 0.012, 0.982)",0.006,0.012,0.982,"(('Choline Chloride', 'Glycerol', 'Water'), 283.15, 'd0b83ee9-668f-49b9-906f-b2c01c06baf7')",0.0015753999999999998,7.877000000000001e-06,0.9819,#3185fc,s,measured
