fluid_compounds,property_type,property_value,uncertainty,temperature,mole_fractions,measurement_id,source_doi,Temperature,Mole fraction,Pressure,doc_label,Solvent: Amount ratio of component to other component of binary solvent,mole_fractions_rounded,mole_fraction_water,composition_temp_id,density_value,density_uncertainty,molarEnthalpy_value,molarEnthalpy_uncertainty,isobaricExpansionCoefficient_value,isobaricExpansionCoefficient_uncertainty,excessMolarVolume_value,excessMolarVolume_uncertainty,excessMolarEnthalpy_value,excessMolarEnthalpy_uncertainty,diffusionCoefficient_value,diffusionCoefficient_uncertainty,viscosity_value,viscosity_uncertainty,henrysLawConstant_value,henrysLawConstant_uncertainty
['water'],density,989.26692,0.132553,313.15,[1.0],40d5a732-7cd1-40bc-851f-f929c3f8dbb8,10.1016/j.fluid.2024.114324,313.15,1.0,100.0,Document_1,,"(1.0,)",1.0,"(('water',), 313.15, '40d5a732-7cd1-40bc-851f-f929c3f8dbb8')",989.26692,0.132553,,,,,,,,,,,,,,
['water'],density,984.23857,0.029222,323.15,[1.0],456aa8c4-3bc7-4a65-90d0-9e6c007116cc,10.1016/j.fluid.2024.114324,323.15,1.0,100.0,Document_1,,"(1.0,)",1.0,"(('water',), 323.15, '456aa8c4-3bc7-4a65-90d0-9e6c007116cc')",984.23857,0.029222,,,,,,,,,,,,,,
['water'],density,978.73098,0.470517,333.15,[1.0],c4b1b1c0-b85f-46b3-91de-2246394e3bca,10.1016/j.fluid.2024.114324,333.15,1.0,100.0,Document_1,,"(1.0,)",1.0,"(('water',), 333.15, 'c4b1b1c0-b85f-46b3-91de-2246394e3bca')",978.73098,0.470517,,,,,,,,,,,,,,
['water'],density,972.22267,0.368699,343.15,[1.0],b61b0f88-ec51-480c-8398-0a07ee291824,10.1016/j.fluid.2024.114324,343.15,1.0,100.0,Document_1,,"(1.0,)",1.0,"(('water',), 343.15, 'b61b0f88-ec51-480c-8398-0a07ee291824')",972.22267,0.368699,,,,,,,,,,,,,,
['water'],density,965.13213,0.251989,353.15,[1.0],4ad7e8d2-16bc-476b-980c-1448994e5b48,10.1016/j.fluid.2024.114324,353.15,1.0,100.0,Document_1,,"(1.0,)",1.0,"(('water',), 353.15, '4ad7e8d2-16bc-476b-980c-1448994e5b48')",965.13213,0.251989,,,,,,,,,,,,,,
['water'],molarEnthalpy,-113162.5134,16.404579,313.15,[1.0],ca627efd-0367-4d31-85ae-5cd7e07d9981,10.1016/j.fluid.2024.114324,313.15,1.0,100.0,Document_1,,"(1.0,)",1.0,"(('water',), 313.15, 'ca627efd-0367-4d31-85ae-5cd7e07d9981')",,,-113162.5134,16.404579,,,,,,,,,,,,
['water'],molarEnthalpy,-110550.96845,7.78308,323.15,[1.0],dde26bb0-b0e1-412e-a9a4-a9675bb62151,10.1016/j.fluid.2024.114324,323.15,1.0,100.0,Document_1,,"(1.0,)",1.0,"(('water',), 323.15, 'dde26bb0-b0e1-412e-a9a4-a9675bb62151')",,,-110550.96845,7.78308,,,,,,,,,,,,
['water'],molarEnthalpy,-107971.66792,30.769541,333.15,[1.0],fb595b83-7154-4694-a33b-608285d7a2cb,10.1016/j.fluid.2024.114324,333.15,1.0,100.0,Document_1,,"(1.0,)",1.0,"(('water',), 333.15, 'fb595b83-7154-4694-a33b-608285d7a2cb')",,,-107971.66792,30.769541,,,,,,,,,,,,
['water'],molarEnthalpy,-105389.20995,35.461666,343.15,[1.0],a789f18c-0f34-4819-9bdf-e0f18e897ab8,10.1016/j.fluid.2024.114324,343.15,1.0,100.0,Document_1,,"(1.0,)",1.0,"(('water',), 343.15, 'a789f18c-0f34-4819-9bdf-e0f18e897ab8')",,,-105389.20995,35.461666,,,,,,,,,,,,
['water'],molarEnthalpy,-102849.66809,34.538222,353.15,[1.0],369ac8bd-8bae-4984-8e99-4114ffe6b700,10.1016/j.fluid.2024.114324,353.15,1.0,100.0,Document_1,,"(1.0,)",1.0,"(('water',), 353.15, '369ac8bd-8bae-4984-8e99-4114ffe6b700')",,,-102849.66809,34.538222,,,,,,,,,,,,
