fluid_compounds,property_type,property_value,uncertainty,temperature,mole_fractions,measurement_id,source_doi,Mole fraction,Temperature,Solvent: Amount ratio of component to other component of binary solvent,doc_label,mole_fractions_rounded,mole_fraction_Choline Chloride,mole_fraction_Glycerol,mole_fraction_Water,composition_temp_id,viscosity_value,viscosity_uncertainty,mole_fraction_water,color,marker,measured
['Water'],viscosity,0.0009836,4.917999999999999e-06,293.15,[1.0],d8a8da2f-b0b0-4121-82c9-e65b6e545363,10.1016/j.fluid.2014.01.028,1.0,293.15,,Document_1,"(1.0,)",1.0,,,"(('Water',), 293.15, 'd8a8da2f-b0b0-4121-82c9-e65b6e545363')",0.0009836,4.917999999999999e-06,1.0,0.7142857142857144,s,measured
['Water'],viscosity,0.0012739000000000001,6.3695e-06,283.15,[1.0],2e1b5006-95b9-47d7-aa61-653295938250,10.1016/j.fluid.2014.01.028,1.0,283.15,,Document_1,"(1.0,)",1.0,,,"(('Water',), 283.15, '2e1b5006-95b9-47d7-aa61-653295938250')",0.0012739000000000001,6.3695e-06,1.0,0.7142857142857144,s,measured
['Water'],viscosity,0.0006492,3.2460000000000003e-06,313.15,[1.0],170ec3fa-aab2-48aa-8b14-79ea49566099,10.1016/j.fluid.2014.01.028,1.0,313.15,,Document_1,"(1.0,)",1.0,,,"(('Water',), 313.15, '170ec3fa-aab2-48aa-8b14-79ea49566099')",0.0006492,3.2460000000000003e-06,1.0,0.7142857142857144,s,measured
['Water'],viscosity,0.0007914,3.9569999999999996e-06,303.15,[1.0],4ec61695-4b83-46fc-9dec-5bc85cf8cc67,10.1016/j.fluid.2014.01.028,1.0,303.15,,Document_1,"(1.0,)",1.0,,,"(('Water',), 303.15, '4ec61695-4b83-46fc-9dec-5bc85cf8cc67')",0.0007914,3.9569999999999996e-06,1.0,0.7142857142857144,s,measured
['Water'],viscosity,0.000477,2.385e-06,333.15,[1.0],f5446c46-9beb-47d1-ba37-b5e0d0e6c5fa,10.1016/j.fluid.2014.01.028,1.0,333.15,,Document_1,"(1.0,)",1.0,,,"(('Water',), 333.15, 'f5446c46-9beb-47d1-ba37-b5e0d0e6c5fa')",0.000477,2.385e-06,1.0,0.7142857142857144,s,measured
['Water'],viscosity,0.0004354,2.177e-06,343.15,[1.0],61e2a120-4348-436c-99f7-857a403d27ce,10.1016/j.fluid.2014.01.028,1.0,343.15,,Document_1,"(1.0,)",1.0,,,"(('Water',), 343.15, '61e2a120-4348-436c-99f7-857a403d27ce')",0.0004354,2.177e-06,1.0,0.7142857142857144,s,measured
['Water'],viscosity,0.000386,1.93e-06,353.15,[1.0],d85a7ed3-f8e6-41d7-a755-553b56e449f8,10.1016/j.fluid.2014.01.028,1.0,353.15,,Document_1,"(1.0,)",1.0,,,"(('Water',), 353.15, 'd85a7ed3-f8e6-41d7-a755-553b56e449f8')",0.000386,1.93e-06,1.0,0.7142857142857144,s,measured
['Water'],viscosity,0.0005487,2.7434999999999997e-06,323.15,[1.0],e819ea40-ced3-4659-a4f0-586f97662067,10.1016/j.fluid.2014.01.028,1.0,323.15,,Document_1,"(1.0,)",1.0,,,"(('Water',), 323.15, 'e819ea40-ced3-4659-a4f0-586f97662067')",0.0005487,2.7434999999999997e-06,1.0,0.7142857142857144,s,measured
['Water'],viscosity,0.0003306,1.6529999999999999e-06,363.15,[1.0],82d6fda3-8242-4fb6-88d2-c1e3ee450e0c,10.1016/j.fluid.2014.01.028,1.0,363.15,,Document_1,"(1.0,)",1.0,,,"(('Water',), 363.15, '82d6fda3-8242-4fb6-88d2-c1e3ee450e0c')",0.0003306,1.6529999999999999e-06,1.0,0.7142857142857144,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0015753999999999998,7.877000000000001e-06,283.15,"[0.006033333333, 0.012066666667, 0.9819]",118c8a1a-4499-42cb-90bc-8f14c7d918f0,10.1016/j.fluid.2014.01.028,0.9819,283.15,2.0,Document_1,"(0.006, 0.012, 0.982)",0.006,0.012,0.982,"(('Choline Chloride', 'Glycerol', 'Water'), 283.15, '118c8a1a-4499-42cb-90bc-8f14c7d918f0')",0.0015753999999999998,7.877000000000001e-06,0.9819,0.7142857142857144,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0005652000000000001,2.826e-06,333.15,"[0.006033333333, 0.012066666667, 0.9819]",3a6d2784-d836-4ba9-ba80-23e8faf1a73c,10.1016/j.fluid.2014.01.028,0.9819,333.15,2.0,Document_1,"(0.006, 0.012, 0.982)",0.006,0.012,0.982,"(('Choline Chloride', 'Glycerol', 'Water'), 333.15, '3a6d2784-d836-4ba9-ba80-23e8faf1a73c')",0.0005652000000000001,2.826e-06,0.9819,0.7142857142857144,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0004876,2.438e-06,343.15,"[0.006033333333, 0.012066666667, 0.9819]",ffd95bed-9aa7-47fc-bbbc-f59fe120d20f,10.1016/j.fluid.2014.01.028,0.9819,343.15,2.0,Document_1,"(0.006, 0.012, 0.982)",0.006,0.012,0.982,"(('Choline Chloride', 'Glycerol', 'Water'), 343.15, 'ffd95bed-9aa7-47fc-bbbc-f59fe120d20f')",0.0004876,2.438e-06,0.9819,0.7142857142857144,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0004353,2.1765000000000003e-06,353.15,"[0.006033333333, 0.012066666667, 0.9819]",6fa5c0b8-a74d-4b07-9c1c-c0785eb48014,10.1016/j.fluid.2014.01.028,0.9819,353.15,2.0,Document_1,"(0.006, 0.012, 0.982)",0.006,0.012,0.982,"(('Choline Chloride', 'Glycerol', 'Water'), 353.15, '6fa5c0b8-a74d-4b07-9c1c-c0785eb48014')",0.0004353,2.1765000000000003e-06,0.9819,0.7142857142857144,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0009611,4.8055e-06,303.15,"[0.006033333333, 0.012066666667, 0.9819]",d6be8b51-acca-44d2-b019-12c3bbc830fb,10.1016/j.fluid.2014.01.028,0.9819,303.15,2.0,Document_1,"(0.006, 0.012, 0.982)",0.006,0.012,0.982,"(('Choline Chloride', 'Glycerol', 'Water'), 303.15, 'd6be8b51-acca-44d2-b019-12c3bbc830fb')",0.0009611,4.8055e-06,0.9819,0.7142857142857144,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0012064999999999999,6.032499999999999e-06,293.15,"[0.006033333333, 0.012066666667, 0.9819]",1c5dcd2c-6520-48d9-ae53-0a94016bac27,10.1016/j.fluid.2014.01.028,0.9819,293.15,2.0,Document_1,"(0.006, 0.012, 0.982)",0.006,0.012,0.982,"(('Choline Chloride', 'Glycerol', 'Water'), 293.15, '1c5dcd2c-6520-48d9-ae53-0a94016bac27')",0.0012064999999999999,6.032499999999999e-06,0.9819,0.7142857142857144,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0007902,3.951e-06,313.15,"[0.006033333333, 0.012066666667, 0.9819]",4971faf4-4ed7-4b77-9b42-265549082c3a,10.1016/j.fluid.2014.01.028,0.9819,313.15,2.0,Document_1,"(0.006, 0.012, 0.982)",0.006,0.012,0.982,"(('Choline Chloride', 'Glycerol', 'Water'), 313.15, '4971faf4-4ed7-4b77-9b42-265549082c3a')",0.0007902,3.951e-06,0.9819,0.7142857142857144,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0003862,1.931e-06,363.15,"[0.006033333333, 0.012066666667, 0.9819]",f15006cf-0b29-40b2-a71a-207af10845ca,10.1016/j.fluid.2014.01.028,0.9819,363.15,2.0,Document_1,"(0.006, 0.012, 0.982)",0.006,0.012,0.982,"(('Choline Chloride', 'Glycerol', 'Water'), 363.15, 'f15006cf-0b29-40b2-a71a-207af10845ca')",0.0003862,1.931e-06,0.9819,0.7142857142857144,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0006578,3.2889999999999998e-06,323.15,"[0.006033333333, 0.012066666667, 0.9819]",1276080f-236b-4f71-bf30-58fdaf2bebef,10.1016/j.fluid.2014.01.028,0.9819,323.15,2.0,Document_1,"(0.006, 0.012, 0.982)",0.006,0.012,0.982,"(('Choline Chloride', 'Glycerol', 'Water'), 323.15, '1276080f-236b-4f71-bf30-58fdaf2bebef')",0.0006578,3.2889999999999998e-06,0.9819,0.7142857142857144,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0004654,2.327e-06,363.15,"[0.013266666667, 0.026533333333, 0.9602]",fee6a37c-8807-4138-abaa-2bebcd116c99,10.1016/j.fluid.2014.01.028,0.9602,363.15,2.0,Document_1,"(0.013, 0.027, 0.96)",0.013,0.027,0.96,"(('Choline Chloride', 'Glycerol', 'Water'), 363.15, 'fee6a37c-8807-4138-abaa-2bebcd116c99')",0.0004654,2.327e-06,0.9602,0.7142857142857144,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0006006000000000001,3.003e-06,343.15,"[0.013266666667, 0.026533333333, 0.9602]",6f2359d8-b31b-43e4-bb84-d3103d969be0,10.1016/j.fluid.2014.01.028,0.9602,343.15,2.0,Document_1,"(0.013, 0.027, 0.96)",0.013,0.027,0.96,"(('Choline Chloride', 'Glycerol', 'Water'), 343.15, '6f2359d8-b31b-43e4-bb84-d3103d969be0')",0.0006006000000000001,3.003e-06,0.9602,0.7142857142857144,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0020141,1.00705e-05,283.15,"[0.013266666667, 0.026533333333, 0.9602]",2c47d9b7-4dcd-4f01-be54-db2c0fbb106a,10.1016/j.fluid.2014.01.028,0.9602,283.15,2.0,Document_1,"(0.013, 0.027, 0.96)",0.013,0.027,0.96,"(('Choline Chloride', 'Glycerol', 'Water'), 283.15, '2c47d9b7-4dcd-4f01-be54-db2c0fbb106a')",0.0020141,1.00705e-05,0.9602,0.7142857142857144,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0015294,7.647e-06,293.15,"[0.013266666667, 0.026533333333, 0.9602]",1421d58a-69fa-43a6-b096-11bf1d79b96c,10.1016/j.fluid.2014.01.028,0.9602,293.15,2.0,Document_1,"(0.013, 0.027, 0.96)",0.013,0.027,0.96,"(('Choline Chloride', 'Glycerol', 'Water'), 293.15, '1421d58a-69fa-43a6-b096-11bf1d79b96c')",0.0015294,7.647e-06,0.9602,0.7142857142857144,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0009808,4.904e-06,313.15,"[0.013266666667, 0.026533333333, 0.9602]",d3a7440f-9e17-42cc-864c-a4c1ed6d5345,10.1016/j.fluid.2014.01.028,0.9602,313.15,2.0,Document_1,"(0.013, 0.027, 0.96)",0.013,0.027,0.96,"(('Choline Chloride', 'Glycerol', 'Water'), 313.15, 'd3a7440f-9e17-42cc-864c-a4c1ed6d5345')",0.0009808,4.904e-06,0.9602,0.7142857142857144,s,measured
"['Choline Chloride', 'Glycerol', 'Water']",viscosity,0.0006998999999999999,3.4995e-06,333.15,"[0.013266666667, 0.026533333333, 0.9602]",481a2521-ea1c-42be-abb9-e5f75e00cd87,10.1016/j.fluid.2014.01.028,0.9602,333.15,2.0,Document_1,"(0.013, 0.027, 0.96)",0.013,0.027,0.96,"(('Choline Chloride', 'Glycerol', 'Water'), 333.15, '481a2521-ea1c-42be-abb9-e5f75e00cd87')",0.0006998999999999999,3.4995e-06,0.9602,0.7142857142857144,s,measured
