mole_fractions,water_mole_fraction,activation_energy,source_doi,ordinate,statistic,color,measurement
"(0.333333333333, 0.666666666667)",0.0,43.99235970910637,NO,-19.071649086120598,0.9986644748590382,#f566c6,measured
"(0.333333333333, 0.666666666667)",0.0,43.647834764208795,10.1039/C1CP22554E,-18.998363941921447,0.9990173018875576,#36abb2,measured
"(0.333333333333, 0.666666666667)",0.0,41.12832679900567,10.1016/j.molliq.2015.11.032,-17.70185749496982,0.9995048458737126,#8aa631,measured
"(0.333333333333, 0.666666666667)",0.0,44.54816743549584,10.1016/j.jct.2018.07.031,-19.123306874502745,0.999279855625456,#b59a31,measured
"(0.333333333333, 0.666666666667)",0.0,44.40116747981307,10.1016/j.fluid.2014.01.028,-19.007296094733693,0.998474227459942,#e18531,measured
"(0.333333333333, 0.666666666667)",0.0,45.09953704837579,10.1039/c0gc00395f,-19.54021233088029,0.9985211447231818,#8e92f4,measured
"(0.297333333333, 0.594666666667, 0.108)",0.108,42.740920842921945,10.1016/j.fluid.2014.01.028,-18.69990002031091,0.9992262608955279,#e18531,measured
"(0.281186588, 0.562373176, 0.156440236)",0.156,45.115184360390785,NO,-19.780154257967947,0.963540890887512,#f566c6,measured
"(0.253966666667, 0.507933333333, 0.2381)",0.238,39.48883055161455,10.1016/j.fluid.2014.01.028,-17.86994576398503,0.9977217397030126,#e18531,measured
"(0.24937655859, 0.49625935141, 0.25436409)",0.254,39.54889702973174,10.1016/j.jct.2018.07.031,-17.874515786203965,0.9991105372175865,#b59a31,measured
"(0.219166666667, 0.438333333333, 0.3425)",0.342,36.501575350030066,10.1016/j.fluid.2014.01.028,-17.086596914497648,0.9988073120623678,#e18531,measured
"(0.200049395, 0.40009879, 0.399851815)",0.4,31.573939947775642,NO,-15.401780511936675,0.9963011040649483,#f566c6,measured
"(0.199266666667, 0.398533333333, 0.4022)",0.402,34.973906685205925,10.1016/j.fluid.2014.01.028,-16.728736246459217,0.9988401995591508,#e18531,measured
"(0.134066666667, 0.268133333333, 0.5978)",0.598,29.268034337184254,10.1016/j.fluid.2014.01.028,-15.442099271689676,0.9995926233804973,#e18531,measured
"(0.093366666667, 0.186733333333, 0.7199)",0.72,26.577674195883002,10.1016/j.fluid.2014.01.028,-15.150847905389504,0.9994860308490422,#e18531,measured
"(0.066766666667, 0.133533333333, 0.7997)",0.8,23.944942801227377,10.1016/j.fluid.2014.01.028,-14.704597552293617,0.9975460355186981,#e18531,measured
"(0.047533333333, 0.095066666667, 0.8574)",0.857,19.622710613725094,10.1016/j.fluid.2014.01.028,-13.503073932481586,0.9993617720485489,#e18531,measured
"(0.033100000000000004, 0.06620000000000001, 0.9007000000000001)",0.901,17.975768578631655,10.1016/j.fluid.2014.01.028,-13.243867032205488,0.9993483315307619,#e18531,measured
"(0.022166666667, 0.044333333333, 0.9335)",0.934,16.799949652265283,10.1016/j.fluid.2014.01.028,-13.111616301568976,0.9992287484325749,#e18531,measured
"(0.013266666667, 0.026533333333, 0.9602)",0.96,15.868360985566909,10.1016/j.fluid.2014.01.028,-13.007853602688918,0.9990682158569807,#e18531,measured
"(0.006033333333, 0.012066666667, 0.9819)",0.982,15.423005613138402,10.1016/j.fluid.2014.01.028,-13.05913408647896,0.9993552307550462,#e18531,measured
"(1.0,)",1.0,14.76209336703735,10.1016/j.fluid.2014.01.028,-12.993980498403756,0.998825553308764,#e18531,measured
