fluid_compounds,property_type,property_value,uncertainty,temperature,mole_fractions,measurement_id,source_doi,Mole fraction,Temperature,Solvent: Amount ratio of component to other component of binary solvent,doc_label,mole_fractions_rounded,mole_fraction_Choline Chloride,mole_fraction_Glycerol,composition_temp_id,density_value,density_uncertainty,thermalConductivity_value,thermalConductivity_uncertainty,viscosity_value,viscosity_uncertainty,mole_fraction_water,color,measured
['Water'],viscosity,0.000507329,5.5e-06,320.15,[1.0],e99830f0-2aea-4d6f-bc25-161125f8783a,10.1039/c9cp00036d,1.0,320.15,,Document_1,"(1.0,)",1.0,,"(('Water',), 320.15, 'e99830f0-2aea-4d6f-bc25-161125f8783a')",,,,,0.000507329,5.5e-06,1.0,"(0.8578978803740233, 0.44058452715322166, 0.957819659566579)",measured
['Water'],density,0.9982,5e-05,293.15,[1.0],a7ba83e5-8bfa-4959-9cfe-42f7bf5cbe32,10.1016/j.fluid.2014.01.028,1.0,293.15,,Document_1,"(1.0,)",1.0,,"(('Water',), 293.15, 'a7ba83e5-8bfa-4959-9cfe-42f7bf5cbe32')",0.9982,5e-05,,,,,1.0,"(0.8836443049112893, 0.5240073524369634, 0.19569304285113343)",measured
['Water'],density,0.9833,5e-05,333.15,[1.0],24bf1db0-14e0-46b2-9ed9-f5b49be293ab,10.1016/j.fluid.2014.01.028,1.0,333.15,,Document_1,"(1.0,)",1.0,,"(('Water',), 333.15, '24bf1db0-14e0-46b2-9ed9-f5b49be293ab')",0.9833,5e-05,,,,,1.0,"(0.8836443049112893, 0.5240073524369634, 0.19569304285113343)",measured
['Water'],density,0.9881,5e-05,323.15,[1.0],3d383ff4-732d-431c-9cfc-3cef267ff0cc,10.1016/j.fluid.2014.01.028,1.0,323.15,,Document_1,"(1.0,)",1.0,,"(('Water',), 323.15, '3d383ff4-732d-431c-9cfc-3cef267ff0cc')",0.9881,5e-05,,,,,1.0,"(0.8836443049112893, 0.5240073524369634, 0.19569304285113343)",measured
['Water'],density,0.98323,5e-05,333.15,[1.0],fa4b6e48-95fb-4346-bf64-fcfdeb99f3ae,10.1016/j.jtice.2012.01.007,1.0,333.15,,Document_1,"(1.0,)",1.0,,"(('Water',), 333.15, 'fa4b6e48-95fb-4346-bf64-fcfdeb99f3ae')",0.98323,5e-05,,,,,1.0,,measured
['Water'],density,1.0,,295.15,[1.0],11e06c2c-5956-4b04-8a20-1f091ea9d8a7,NO,1.0,295.15,,Document_1,"(1.0,)",1.0,,"(('Water',), 295.15, '11e06c2c-5956-4b04-8a20-1f091ea9d8a7')",1.0,,,,,,1.0,"(0.9628653850704804, 0.4025928454059796, 0.7779310354076443)",measured
['Water'],viscosity,0.0009836,4.917999999999999e-06,293.15,[1.0],607ee028-2473-4303-aa77-f2d5ed2eeccc,10.1016/j.fluid.2014.01.028,1.0,293.15,,Document_1,"(1.0,)",1.0,,"(('Water',), 293.15, '607ee028-2473-4303-aa77-f2d5ed2eeccc')",,,,,0.0009836,4.917999999999999e-06,1.0,"(0.8836443049112893, 0.5240073524369634, 0.19569304285113343)",measured
['Water'],density,0.99407,5e-05,308.15,[1.0],6b80d6c0-c6cb-4316-a3db-89d2bd1f56ee,10.1016/j.jtice.2012.01.007,1.0,308.15,,Document_1,"(1.0,)",1.0,,"(('Water',), 308.15, '6b80d6c0-c6cb-4316-a3db-89d2bd1f56ee')",0.99407,5e-05,,,,,1.0,,measured
['Water'],density,0.99568,5e-05,303.15,[1.0],8fd8a73a-686c-4acb-9080-c70d08e62495,10.1016/j.jtice.2012.01.007,1.0,303.15,,Document_1,"(1.0,)",1.0,,"(('Water',), 303.15, '8fd8a73a-686c-4acb-9080-c70d08e62495')",0.99568,5e-05,,,,,1.0,,measured
['Water'],density,0.99226,5e-05,313.15,[1.0],70af4565-3e9f-4809-8c2d-2c4da7047fed,10.1016/j.jtice.2012.01.007,1.0,313.15,,Document_1,"(1.0,)",1.0,,"(('Water',), 313.15, '70af4565-3e9f-4809-8c2d-2c4da7047fed')",0.99226,5e-05,,,,,1.0,,measured
