fluid_compounds,property_type,property_value,uncertainty,temperature,mole_fractions,measurement_id,source_doi,Mole fraction,Temperature,Solvent: Mole fraction,doc_label,mole_fractions_rounded,"mole_fraction_1,2-ethanediol",mole_fraction_water,composition_temp_id,property_1_value,property_1_uncertainty,Mass ratio of solute to solvent,"mole_fraction_1,8-diaza-7-bicyclo[5.4.0]undecene",Pressure,mole_fraction_urea,mole_fraction_choline chloride,density_value,density_uncertainty,Solvent: Amount ratio of component to other component of binary solvent,mole_fraction_methanol,mole_fraction_glycerol,kinematicViscosity_value,kinematicViscosity_uncertainty,mole_fraction_carbon dioxide,viscosity_value,viscosity_uncertainty,Mass fraction,mole_fraction_propan-1-ol,mole_fraction_propanedioic acid,specificVolume_value,specificVolume_uncertainty,mole_fraction_ethanol,property_2_value,property_2_uncertainty,property_3_value,property_3_uncertainty,speedOfSound_value,speedOfSound_uncertainty
"['urea', 'choline chloride', 'water']",density,1065.2,0.3,293.15,"[0.06667, 0.03333, 0.9]",8e4f8e0e-25b0-497e-9150-1aa0497676c5,10.1021/je5001796,0.9,293.15,,Document_1,"(0.067, 0.033, 0.9)",,0.9,"(('choline chloride', 'urea', 'water'), 293.15, '8e4f8e0e-25b0-497e-9150-1aa0497676c5')",,,,,101.0,0.067,0.033,1065.2,0.3,,,,,,,,,,,,,,,,,,,,
"['urea', 'choline chloride', 'water']",density,1104.7,0.2,293.15,"[0.13333, 0.06667, 0.8]",e3ac4016-cfa5-4151-bfb1-93cb2b614444,10.1021/je5001796,0.8,293.15,,Document_1,"(0.133, 0.067, 0.8)",,0.8,"(('choline chloride', 'urea', 'water'), 293.15, 'e3ac4016-cfa5-4151-bfb1-93cb2b614444')",,,,,101.0,0.133,0.067,1104.7,0.2,,,,,,,,,,,,,,,,,,,,
"['urea', 'choline chloride', 'water']",density,1130.7,0.2,293.15,"[0.19947, 0.09973, 0.7008]",df27d8b8-94d1-4707-90ac-b23a62ac718c,10.1021/je5001796,0.7008,293.15,,Document_1,"(0.199, 0.1, 0.701)",,0.701,"(('choline chloride', 'urea', 'water'), 293.15, 'df27d8b8-94d1-4707-90ac-b23a62ac718c')",,,,,101.0,0.199,0.1,1130.7,0.2,,,,,,,,,,,,,,,,,,,,
"['urea', 'choline chloride', 'water']",density,1149.2,0.2,293.15,"[0.26667, 0.13333, 0.6]",8775de6e-4d28-42c0-96fa-2dc7809f79bf,10.1021/je5001796,0.6,293.15,,Document_1,"(0.267, 0.133, 0.6)",,0.6,"(('choline chloride', 'urea', 'water'), 293.15, '8775de6e-4d28-42c0-96fa-2dc7809f79bf')",,,,,101.0,0.267,0.133,1149.2,0.2,,,,,,,,,,,,,,,,,,,,
"['urea', 'choline chloride', 'water']",density,1162.1,0.2,293.15,"[0.32967, 0.16483, 0.5055]",6370fe73-4143-4298-bc2d-0f341b5ea798,10.1021/je5001796,0.5055,293.15,,Document_1,"(0.33, 0.165, 0.505)",,0.505,"(('choline chloride', 'urea', 'water'), 293.15, '6370fe73-4143-4298-bc2d-0f341b5ea798')",,,,,101.0,0.33,0.165,1162.1,0.2,,,,,,,,,,,,,,,,,,,,
"['urea', 'choline chloride', 'water']",density,1173.2,0.2,293.15,"[0.39973, 0.19987, 0.4004000000000001]",153a52ff-c7d3-40f7-85af-95b32ca6b613,10.1021/je5001796,0.4004000000000001,293.15,,Document_1,"(0.4, 0.2, 0.4)",,0.4,"(('choline chloride', 'urea', 'water'), 293.15, '153a52ff-c7d3-40f7-85af-95b32ca6b613')",,,,,101.0,0.4,0.2,1173.2,0.2,,,,,,,,,,,,,,,,,,,,
"['urea', 'choline chloride', 'water']",density,1181.7,0.3,293.15,"[0.46587, 0.23293, 0.3012]",c6420d64-ac34-4051-b286-4d42589aa697,10.1021/je5001796,0.3012,293.15,,Document_1,"(0.466, 0.233, 0.301)",,0.301,"(('choline chloride', 'urea', 'water'), 293.15, 'c6420d64-ac34-4051-b286-4d42589aa697')",,,,,101.0,0.466,0.233,1181.7,0.3,,,,,,,,,,,,,,,,,,,,
"['urea', 'choline chloride', 'water']",density,1188.9,0.3,293.15,"[0.5334, 0.2667, 0.19989999999999997]",1ccd681f-8808-4017-adb6-7ac89bd82c9d,10.1021/je5001796,0.19989999999999997,293.15,,Document_1,"(0.533, 0.267, 0.2)",,0.2,"(('choline chloride', 'urea', 'water'), 293.15, '1ccd681f-8808-4017-adb6-7ac89bd82c9d')",,,,,101.0,0.533,0.267,1188.9,0.3,,,,,,,,,,,,,,,,,,,,
"['urea', 'choline chloride', 'water']",density,1194.8,0.4,293.15,"[0.5984, 0.2992, 0.10239999999999994]",79b5120e-9df2-47a6-bdf7-7c37a51a6046,10.1021/je5001796,0.10239999999999994,293.15,,Document_1,"(0.598, 0.299, 0.102)",,0.102,"(('choline chloride', 'urea', 'water'), 293.15, '79b5120e-9df2-47a6-bdf7-7c37a51a6046')",,,,,101.0,0.598,0.299,1194.8,0.4,,,,,,,,,,,,,,,,,,,,
"['urea', 'choline chloride', 'water']",density,1200.1,0.4,293.15,"[0.66667, 0.33333, 0.0]",883b2e5a-da47-4990-a860-9effac5029df,10.1021/je5001796,0.0,293.15,,Document_1,"(0.667, 0.333, 0.0)",,0.0,"(('choline chloride', 'urea', 'water'), 293.15, '883b2e5a-da47-4990-a860-9effac5029df')",,,,,101.0,0.667,0.333,1200.1,0.4,,,,,,,,,,,,,,,,,,,,
