Error(cP),Viscosity(cP),molar ratio of DES (mol/mol),mole fraction of water (mol/mol),temperature (K),DOI
NG,169,0.5,0,313.15,10.1002/cphc.200500489
NG,122.103044,0.5,0,318.026111,10.1002/cphc.200500489
NG,144.945703,0.5,0,315.555369,10.1002/cphc.200500489
NG,172.061696,0.5,0,313.07244,10.1002/cphc.200500489
NG,204.250466,0.5,0,310.529327,10.1002/cphc.200500489
NG,245.248957,0.5,0,308.075872,10.1002/cphc.200500489
NG,297.862986,0.5,0,305.565069,10.1002/cphc.200500489
NG,365.924228,0.5,0,303.00065,10.1002/cphc.200500489
6.8598595,1371.9719,0.5,0,293.15,10.1021/je5001796
2.636393,527.2786,0.5,0,303.15,10.1021/je5001796
1.1903815,238.0763,0.5,0,313.15,10.1021/je5001796
0.5990245,119.8049,0.5,0,323.15,10.1021/je5001796
0.343239,68.6478,0.5,0,333.15,10.1021/je5001796
0.209806,41.9612,0.5,0,343.15,10.1021/je5001796
0.1405265,28.1053,0.5,0,353.15,10.1021/je5001796
0.099745,19.949,0.5,0,363.15,10.1021/je5001796
2.180569,436.1138,0.5,0.03663423,293.15,10.1021/je5001796
1.0030965,200.6193,0.5,0.03663423,303.15,10.1021/je5001796
0.520146,104.0292,0.5,0.03663423,313.15,10.1021/je5001796
0.305927,61.1854,0.5,0.03663423,323.15,10.1021/je5001796
0.1912475,38.2495,0.5,0.03663423,333.15,10.1021/je5001796
0.129438,25.8876,0.5,0.03663423,343.15,10.1021/je5001796
0.092493,18.4986,0.5,0.03663423,353.15,10.1021/je5001796
0.068525,13.705,0.5,0.03663423,363.15,10.1021/je5001796
0.8470665,169.4133,0.5,0.076878702,293.15,10.1021/je5001796
0.4472015,89.4403,0.5,0.076878702,303.15,10.1021/je5001796
0.261787,52.3574,0.5,0.076878702,313.15,10.1021/je5001796
0.1660625,33.2125,0.5,0.076878702,323.15,10.1021/je5001796
0.1128975,22.5795,0.5,0.076878702,333.15,10.1021/je5001796
0.081114,16.2228,0.5,0.076878702,343.15,10.1021/je5001796
0.060614,12.1228,0.5,0.076878702,353.15,10.1021/je5001796
0.046475,9.295,0.5,0.076878702,363.15,10.1021/je5001796
0.3666785,73.3357,0.5,0.125625626,293.15,10.1021/je5001796
0.217479,43.4958,0.5,0.125625626,303.15,10.1021/je5001796
0.140028,28.0056,0.5,0.125625626,313.15,10.1021/je5001796
0.0964705,19.2941,0.5,0.125625626,323.15,10.1021/je5001796
0.069793,13.9586,0.5,0.125625626,333.15,10.1021/je5001796
