Error(cP),Viscosity(cP),molar ratio of DES (mol/mol),mole fraction of water (mol/mol),temperature (K),DOI
NG,1385,0,0.017140663,293.15,10.1021/ie50273a022
NG,1102,0,0.017140663,295.65,10.1021/ie50273a022
NG,884,0,0.017140663,298.15,10.1021/ie50273a022
NG,715.5,0,0.017140663,300.65,10.1021/ie50273a022
NG,583.3,0,0.017140663,303.15,10.1021/ie50273a022
NG,1158,0,0.056597898,293.15,10.1021/ie50273a022
NG,926,0,0.056597898,295.65,10.1021/ie50273a022
NG,747.4,0,0.056597898,298.15,10.1021/ie50273a022
NG,607.3,0,0.056597898,300.65,10.1021/ie50273a022
NG,496.2,0,0.056597898,303.15,10.1021/ie50273a022
NG,986,0,0.091843561,293.15,10.1021/ie50273a022
NG,789.8,0,0.091843561,295.65,10.1021/ie50273a022
NG,636.8,0,0.091843561,298.15,10.1021/ie50273a022
NG,519.8,0,0.091843561,300.65,10.1021/ie50273a022
NG,427.2,0,0.091843561,303.15,10.1021/ie50273a022
NG,783.5,0,0.140953625,293.15,10.1021/ie50273a022
NG,629.6,0,0.140953625,295.65,10.1021/ie50273a022
NG,512.3,0,0.140953625,298.15,10.1021/ie50273a022
NG,420.7,0,0.140953625,300.65,10.1021/ie50273a022
NG,346.7,0,0.140953625,303.15,10.1021/ie50273a022
NG,724,0,0.157186444,293.15,10.1021/ie50273a022
NG,582.9,0,0.157186444,295.65,10.1021/ie50273a022
NG,474.8,0,0.157186444,298.15,10.1021/ie50273a022
NG,389.9,0,0.157186444,300.65,10.1021/ie50273a022
NG,322.4,0,0.157186444,303.15,10.1021/ie50273a022
NG,671.6,0,0.172569094,293.15,10.1021/ie50273a022
NG,542.1,0,0.172569094,295.65,10.1021/ie50273a022
NG,441.8,0,0.172569094,298.15,10.1021/ie50273a022
NG,363.6,0,0.172569094,300.65,10.1021/ie50273a022
NG,300.6,0,0.172569094,303.15,10.1021/ie50273a022
NG,618.5,0,0.188626712,293.15,10.1021/ie50273a022
NG,499.5,0,0.188626712,295.65,10.1021/ie50273a022
NG,408.3,0,0.188626712,298.15,10.1021/ie50273a022
NG,336.6,0,0.188626712,300.65,10.1021/ie50273a022
NG,279.6,0,0.188626712,303.15,10.1021/ie50273a022
NG,565.6,0,0.205279797,293.15,10.1021/ie50273a022
NG,457.6,0,0.205279797,295.65,10.1021/ie50273a022
NG,374.9,0,0.205279797,298.15,10.1021/ie50273a022
NG,309.7,0,0.205279797,300.65,10.1021/ie50273a022
NG,257.2,0,0.205279797,303.15,10.1021/ie50273a022
NG,481.7,0,0.235379521,293.15,10.1021/ie50273a022
NG,390.7,0,0.235379521,295.65,10.1021/ie50273a022
NG,321.5,0,0.235379521,298.15,10.1021/ie50273a022
NG,266.3,0,0.235379521,300.65,10.1021/ie50273a022
NG,222.3,0,0.235379521,303.15,10.1021/ie50273a022
NG,442.3,0,0.255786101,293.15,10.1021/ie50273a022
NG,359.9,0,0.255786101,295.65,10.1021/ie50273a022
NG,295.9,0,0.255786101,298.15,10.1021/ie50273a022
NG,245.6,0,0.255786101,300.65,10.1021/ie50273a022
NG,205.9,0,0.255786101,303.15,10.1021/ie50273a022
NG,375.6,0,0.283371029,293.15,10.1021/ie50273a022
NG,306.8,0,0.283371029,295.65,10.1021/ie50273a022
NG,254.7,0,0.283371029,298.15,10.1021/ie50273a022
NG,212.1,0,0.283371029,300.65,10.1021/ie50273a022
NG,177.9,0,0.283371029,303.15,10.1021/ie50273a022
NG,337.9,0,0.302191226,293.15,10.1021/ie50273a022
NG,276.5,0,0.302191226,295.65,10.1021/ie50273a022
NG,229.2,0,0.302191226,298.15,10.1021/ie50273a022
NG,191.6,0,0.302191226,300.65,10.1021/ie50273a022
NG,161,0,0.302191226,303.15,10.1021/ie50273a022
NG,268,0,0.340943642,293.15,10.1021/ie50273a022
NG,220.5,0,0.340943642,295.65,10.1021/ie50273a022
NG,183.8,0,0.340943642,298.15,10.1021/ie50273a022
NG,154.4,0,0.340943642,300.65,10.1021/ie50273a022
NG,130.4,0,0.340943642,303.15,10.1021/ie50273a022
NG,231.6,0,0.365052752,293.15,10.1021/ie50273a022
NG,191.5,0,0.365052752,295.65,10.1021/ie50273a022
NG,160.6,0,0.365052752,298.15,10.1021/ie50273a022
NG,135.1,0,0.365052752,300.65,10.1021/ie50273a022
NG,114.5,0,0.365052752,303.15,10.1021/ie50273a022
NG,172.2,0,0.413262909,293.15,10.1021/ie50273a022
NG,143.4,0,0.413262909,295.65,10.1021/ie50273a022
NG,120.9,0,0.413262909,298.15,10.1021/ie50273a022
