Comp1,Comp2,Comp3,Water,MolarComp1,MolarComp2,MolarComp3,MolarComp4,Temperature,Viscosity,Pressure (Mpa),Water Content,Source
Glucose,Cholinechloride,,,"0,5","0,5",,,"293,15","8897,9",0.1,,https://dx.doi.org/10.22606/afse.2018.24004
Glucose,Cholinechloride,,,"0,5","0,5",,,"298,15","5250,6",0.1,,https://dx.doi.org/10.22606/afse.2018.24004
Glucose,Cholinechloride,,,"0,5","0,5",,,"303,15","3213,7",0.1,,https://dx.doi.org/10.22606/afse.2018.24004
Glucose,Cholinechloride,,,"0,5","0,5",,,"313,15","1341,1",0.1,,https://dx.doi.org/10.22606/afse.2018.24004
Glucose,Cholinechloride,,,"0,5","0,5",,,"323,15","623,97",0.1,,https://dx.doi.org/10.22606/afse.2018.24004
Glucose,Cholinechloride,,,"0,5","0,5",,,"333,15","319,88",0.1,,https://dx.doi.org/10.22606/afse.2018.24004
Glucose,Cholinechloride,,,"0,5","0,5",,,"343,15","178,31",0.1,,https://dx.doi.org/10.22606/afse.2018.24004
Glucose,Cholinechloride,,,"0,5","0,5",,,"353,15","109,64",0.1,,https://dx.doi.org/10.22606/afse.2018.24004
Fructose,Cholinechloride,,,"0,5","0,5",,,"293,15",15051,0.1,,https://dx.doi.org/10.22606/afse.2018.24004
Fructose,Cholinechloride,,,"0,5","0,5",,,"298,15",8696,0.1,,https://dx.doi.org/10.22606/afse.2018.24004
Fructose,Cholinechloride,,,"0,5","0,5",,,"303,15","5061,2",0.1,,https://dx.doi.org/10.22606/afse.2018.24004
Fructose,Cholinechloride,,,"0,5","0,5",,,"313,15","2028,4",0.1,,https://dx.doi.org/10.22606/afse.2018.24004
Fructose,Cholinechloride,,,"0,5","0,5",,,"323,15","913,44",0.1,,https://dx.doi.org/10.22606/afse.2018.24004
Fructose,Cholinechloride,,,"0,5","0,5",,,"333,15","455,37",0.1,,https://dx.doi.org/10.22606/afse.2018.24004
Fructose,Cholinechloride,,,"0,5","0,5",,,"343,15","244,44",0.1,,https://dx.doi.org/10.22606/afse.2018.24004
