Compound 1;Compound 2;Compound 3;Molar Fraction 1;Molar Fraction 2;Molar Fraction 3;Property;Property Name;Standard Deviation Viscosity;Parameter;Type;Storage;Comment
Cholinchloride;Glycerol;Water;0,333;0,667;0;386;Viscosity;5,842935;0;Time;none;ChCl-Gly (1:2)_0% H2O
Cholinchloride;Glycerol;Water;0,333;0,667;0;370;Viscosity;6,105516;7;Time;closed;ChCl-Gly (1:2)_0% H2O
Cholinchloride;Glycerol;Water;0,333;0,667;0;368;Viscosity;0,372161;14;Time;closed;ChCl-Gly (1:2)_0% H2O
Cholinchloride;Glycerol;Water;0,333;0,667;0;344;Viscosity;9,170496;38;Time;closed;ChCl-Gly (1:2)_0% H2O
Cholinchloride;Glycerol;Water;0,333;0,667;0;364;Viscosity;7,294365;7;Time;fridge;ChCl-Gly (1:2)_0% H2O
Cholinchloride;Glycerol;Water;0,333;0,667;0;346;Viscosity;12,914;14;Time;fridge;ChCl-Gly (1:2)_0% H2O
Cholinchloride;Glycerol;Water;0,333;0,667;0;352;Viscosity;3,141481;38;Time;fridge;ChCl-Gly (1:2)_0% H2O
Cholinchloride;Glycerol;Water;0,333;0,667;0;367;Viscosity;3,721615;7;Time;open;ChCl-Gly (1:2)_0% H2O
Cholinchloride;Glycerol;Water;0,333;0,667;0;349;Viscosity;8,150336;14;Time;open;ChCl-Gly (1:2)_0% H2O
Cholinchloride;Glycerol;Water;0,333;0,667;0;260;Viscosity;59,95521;40;Time;open;ChCl-Gly (1:2)_0% H2O
Cholinchloride;Glycerol;Water;0,333;0,667;0;49,29497;Polarity;0,120196;0;Time;none;ChCl-Gly (1:2)_0% H2O
Cholinchloride;Glycerol;Water;0,333;0,667;0;50,69326;Polarity;0;7;Time;closed;ChCl-Gly (1:2)_0% H2O
Cholinchloride;Glycerol;Water;0,333;0,667;0;51,14816;Polarity;0,388199;14;Time;closed;ChCl-Gly (1:2)_0% H2O
Cholinchloride;Glycerol;Water;0,333;0,667;0;51,05536;Polarity;0;38;Time;closed;ChCl-Gly (1:2)_0% H2O
Cholinchloride;Glycerol;Water;0,333;0,667;0;51,37683;Polarity;0,195843;7;Time;fridge;ChCl-Gly (1:2)_0% H2O
Cholinchloride;Glycerol;Water;0,333;0,667;0;51,7488;Polarity;0,198689;14;Time;fridge;ChCl-Gly (1:2)_0% H2O
Cholinchloride;Glycerol;Water;0,333;0,667;0;51,28468;Polarity;0,195141;39;Time;fridge;ChCl-Gly (1:2)_0% H2O
Cholinchloride;Glycerol;Water;0,333;0,667;0;50,88156;Polarity;0,896266;7;Time;open;ChCl-Gly (1:2)_0% H2O
