Number of components,Type of DES,I,II,III,IV,V,Component#1,Component#2,Component#3,X#1 (molar fraction),X#2 (molar fraction),X#3 (molar fraction),"Temperature, K","Viscosity, cP",Reference (DOI),"Density, g/cm^3"
2,Ⅰ,1,0,0,0,0,zinc;dichloride,Benzyltributylammonium chloride,,0.667,0.333,,298.0,0.0135,10.13140/RG.2.2.13424.10245,1.0014
2,Ⅲ,0,0,1,0,0,1-Ethyl-3-methylimidazolium chloride,"1,2,4-TRIAZOLE",,0.5,0.5,,313.2,0.0347,10.1021/acssuschemeng.0c04215,1.16822
2,Ⅲ,0,0,1,0,0,1-Ethyl-3-methylimidazolium chloride,1H-Benzotriazole,,0.5,0.5,,313.2,0.07529999999999999,10.1021/acssuschemeng.0c04215,1.4666
2,Ⅲ,0,0,1,0,0,1-Ethyl-3-methylimidazolium chloride,1H-Tetrazole,,0.5,0.5,,313.2,0.0446,10.1021/acssuschemeng.0c04215,1.16062
2,Ⅲ,0,0,1,0,0,1-Ethyl-3-methylimidazolium chloride,BENZIMIDAZOLE,,0.5,0.5,,313.2,0.8254,10.1021/acssuschemeng.0c04215,1.1985
2,Ⅲ,0,0,1,0,0,1-Ethyl-3-methylimidazolium chloride,imidazole,,0.5,0.5,,313.2,0.31739999999999996,10.1021/acssuschemeng.0c04215,1.14956
2,Ⅲ,0,0,1,0,0,1-Ethyl-3-methylimidazolium chloride,phenol,,0.5,0.5,,313.2,0.058,10.1021/acssuschemeng.0c04215,1.11071
2,Ⅲ,0,0,1,0,0,1-Ethyl-3-methylimidazolium chloride,SUCCINIMIDE,,0.5,0.5,,313.2,0.0593,10.1021/acssuschemeng.0c04215,1.12093
2,Ⅲ,0,0,1,0,0,"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,,0.143,0.857,,293.15,1.772,10.1021/acssuschemeng.9b03245,1.2982
2,Ⅲ,0,0,1,0,0,"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,,0.143,0.857,,303.15,0.7162000000000001,10.1021/acssuschemeng.9b03245,1.2917
2,Ⅲ,0,0,1,0,0,"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,,0.143,0.857,,313.15,0.3307,10.1021/acssuschemeng.9b03245,1.2851
2,Ⅲ,0,0,1,0,0,"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,,0.143,0.857,,323.15,0.165,10.1021/acssuschemeng.9b03245,1.2786
2,Ⅲ,0,0,1,0,0,"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,,0.143,0.857,,333.15,0.0891,10.1021/acssuschemeng.9b03245,1.272
2,Ⅲ,0,0,1,0,0,"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,,0.143,0.857,,343.15,0.0518,10.1021/acssuschemeng.9b03245,1.2654
2,Ⅲ,0,0,1,0,0,"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,,0.143,0.857,,353.15,0.0314,10.1021/acssuschemeng.9b03245,1.2587
2,Ⅲ,0,0,1,0,0,"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,,0.167,0.833,,293.15,1.586,10.1021/acssuschemeng.9b03245,1.2983
